ear,mar,driver_state,label
0.2679,1.2364,alert,0
0.1441,1.2403,alert,0
0.2634,1.1682,alert,0
0.2735,0.8526,alert,0
0.3367,1.0234,alert,0
0.2017,1.1733,alert,0
0.3113,1.0953,alert,0
0.3125,1.1378,alert,0
0.2544,1.1031,alert,0
0.4171,2.4219,alert,0
0.2066,0.7499,alert,0
0.3745,1.0744,alert,0
0.1269,1.1575,alert,0
0.3475,1.1736,alert,0
0.2303,1.0273,alert,0
0.3454,2.0547,alert,0
0.2464,1.2045,alert,0
0.3151,1.1788,alert,0
0.3722,0.7261,alert,0
0.3027,1.1549,alert,0
0.2097,0.863,alert,0
0.2567,0.8926,alert,0
0.3866,0.8973,alert,0
0.2627,1.2381,alert,0
0.3598,1.0095,alert,0
0.2663,1.3415,alert,0
0.277,1.0688,alert,0
0.1795,1.3142,alert,0
0.2613,1.1842,alert,0
0.403,1.1953,alert,0
0.2533,1.0666,alert,0
0.3216,1.1133,alert,0
0.3706,0.9673,alert,0
0.3789,1.6982,alert,0
0.2538,1.0017,alert,0
0.2669,1.1774,alert,0
0.3578,1.1203,alert,0
0.3296,1.0879,alert,0
0.2673,1.1452,alert,0
0.3254,0.9919,alert,0
0.2511,1.1539,alert,0
0.3742,0.8527,alert,0
0.2734,1.1131,alert,0
0.2794,1.1466,alert,0
0.3641,1.1634,alert,0
0.3535,1.6797,alert,0
0.2122,1.1175,alert,0
0.2607,1.0324,alert,0
0.3553,1.1221,alert,0
0.2787,1.1468,alert,0
0.2683,1.3454,alert,0
0.3677,0.8912,alert,0
0.3275,0.9393,alert,0
0.2356,1.2906,alert,0
0.3936,0.626,alert,0
0.3065,1.1359,alert,0
0.2772,1.2473,alert,0
0.2897,1.3071,alert,0
0.304,1.0164,alert,0
0.12,1.6554,alert,0
0.2695,1.0813,alert,0
0.3879,1.1682,alert,0
0.279,1.1397,alert,0
0.3713,1.0079,alert,0
0.3228,1.0992,alert,0
0.2094,1.1857,alert,0
0.4419,0.9013,alert,0
